Year,Event,Goro,Source
57年,委の奴国王が後漢に使いを送り、金印をもらう,こんな（57）に豪華な漢の金印,manach.kyoshin.co.jp
238年,邪馬台国の卑弥呼が中国に使いを送る,文（23）は（8）読んでね、卑弥呼より,manach.kyoshin.co.jp
4世紀ころ,大和政権が誕生し、大陸の文化が伝来する,死（4）者をほうむる前方後円墳,manach.kyoshin.co.jp
538年,百済から日本に仏教が公式に伝来する,ご参拝（538）しなさい,manach.kyoshin.co.jp
593年,聖徳太子が摂政になる,摂政就任、ご苦（59）労さん（3）,manach.kyoshin.co.jp
603年,聖徳太子による冠位十二階の制定,群れ（60）を身（3）分で位分け、冠位十二階,manach.kyoshin.co.jp
604年,十七条の憲法が定められる,無礼（60）は止（4）そう十七条の憲法,manach.kyoshin.co.jp
607年,小野妹子が遣隋使として派遣される,群れな（607）がら、船に揺られて遣隋使,manach.kyoshin.co.jp
630年,遣唐使の派遣（第一回）,蒸され（630）て過酷な遣唐使船,manach.kyoshin.co.jp
645年,大化の改新,朝廷の、虫（64）を殺（5）して大化の改新,manach.kyoshin.co.jp
663年,白村江の戦い,無、無残（663）に唐・新羅に敗退、白村江の戦い,manach.kyoshin.co.jp
672年,壬申の乱,無難に（672）勝利、大海人皇子（天武天皇）,manach.kyoshin.co.jp
701年,大宝律令の制定,なれ一番（701）の律令国家に,manach.kyoshin.co.jp
710年,平城京に遷都する,なんと（710）見事な平城京,manach.kyoshin.co.jp
712年,古事記の編纂,なぁいつ（712）完成するの？古事記編纂,manach.kyoshin.co.jp
729年,長屋王の変,なにく（729）わぬ顔でだまされた長屋王,manach.kyoshin.co.jp
743年,墾田永年私財法発布,期限は無しさ（743）、墾田永年私財法,manach.kyoshin.co.jp
753年,鑑真の来日,和み（753）輝く、盲目鑑真,manach.kyoshin.co.jp
794年,平安京に遷都する,鳴くよ（794）うぐいす、平安京,manach.kyoshin.co.jp
894年,遣唐使の廃止,白紙（894）に戻そう、遣唐使,manach.kyoshin.co.jp
1016年,藤原道長が摂政になる,遠い（101）む（6）かしの摂関政治,manach.kyoshin.co.jp
1051年,前九年の役,なんと強引（1051）、前九年,manach.kyoshin.co.jp
1083年,後三年の役,人（10）を闇（83）討ち後三年,manach.kyoshin.co.jp
1086年,白河上皇による院政の開始,院政を、一応（10）やろう（86）と白河上皇,manach.kyoshin.co.jp
1156年,保元の乱,いいころ（1156）に身内で争う、保元の乱,manach.kyoshin.co.jp
1159年,平治の乱,人々（11）ご苦労（59）、平治の乱,manach.kyoshin.co.jp
1185年,壇ノ浦の戦い,いいわ（118）この（5）味、壇ノ浦,manach.kyoshin.co.jp
1185年,源頼朝による守護・地頭の設置,いいはこ（1185）作ろう、鎌倉幕府,manach.kyoshin.co.jp
1221年,承久の乱,人に不意（1221）打ち承久の乱,manach.kyoshin.co.jp
1232年,御成敗式目の制定,いつ身に（1232）つくの、御成敗式目,manach.kyoshin.co.jp
1274年,文永の役,時宗の悲痛な（127）呼（4）びかけ、文永の役,manach.kyoshin.co.jp
1281年,弘安の役,集団で、人に（12）矢を射る（81）、弘安の役,manach.kyoshin.co.jp
1333年,鎌倉幕府の滅亡,遺産さんざん（1333）、鎌倉幕府滅亡,manach.kyoshin.co.jp
1334年,建武の新政,人（1）、さぁ見よ（334）、建武の新政,manach.kyoshin.co.jp
1338年,室町幕府の成立,いざ（13）みや（38）こ入り、足利尊氏,manach.kyoshin.co.jp
1392年,南北朝統一,いざ国（1392）まとまる、南北朝統一,manach.kyoshin.co.jp
1467年,応仁の乱,人よ（14）、むな（67）しい、応仁の乱,manach.kyoshin.co.jp
1543年,種子島鉄砲伝来,以後（15）予算（43）が増える、鉄砲伝来,manach.kyoshin.co.jp
1549年,キリスト教伝来,以後（15）よく（49）広まる、キリスト教,manach.kyoshin.co.jp
1573年,室町幕府の滅亡,以後涙（1573）の室町幕府,manach.kyoshin.co.jp
1582年,本能寺の変,一行（15）、パニック（82）、本能寺,manach.kyoshin.co.jp
1590年,豊臣秀吉が全国統一を成し遂げる,戦国終わ（1590）って秀吉の天下,manach.kyoshin.co.jp
1600年,関ヶ原の戦い,ヒーローわーわー（1600）、関ケ原,manach.kyoshin.co.jp
1603年,江戸幕府の成立,家康はいろいろ（16）おさ（03）める大将軍,manach.kyoshin.co.jp
1614-1615年,大阪の陣,広いし（1614）寒い、冬の陣／ヒーロー以後（1615）現れず、夏の陣,manach.kyoshin.co.jp
1635年,参勤交代の制,ヒーロー見事（1635）な参勤交代,manach.kyoshin.co.jp
1637年,島原の乱,顔色（16）さえない（37）、天草四郎,manach.kyoshin.co.jp
1639年,ポルトガル船の来航禁止（鎖国）,広い柵（1639）してポルトガル船阻止,manach.kyoshin.co.jp
1716年,徳川吉宗による享保の改革,非難いろいろ（1716）、享保の改革,manach.kyoshin.co.jp
1787年,松平定信による寛政の改革,非難はな（1787）いか、寛政の改革,manach.kyoshin.co.jp
1825年,外国船打払令,一発（182）ご（5）めん、打ち払い,manach.kyoshin.co.jp
1840年,アヘン戦争,人はヨレヨレ（1840）、アヘン戦争,manach.kyoshin.co.jp
1841年,水野忠邦による天保の改革,人はよい（1841）？水野すすめる天保の改革,manach.kyoshin.co.jp
1853年,ペリーが浦賀に来航する,日本の人は（18）降参（53）さ,manach.kyoshin.co.jp
1854年,日米和親条約締結,一夜越し（1854）、ついに開国、日米和親,manach.kyoshin.co.jp
1858年,日米修好通商条約締結・安政の大獄,通商は、一番こわ（1858）いと、井伊が言う,manach.kyoshin.co.jp
1860年,桜田門外の変,井伊は無礼（1860）だ、暗殺だ,manach.kyoshin.co.jp
1866年,薩長同盟が成立する,いや（18）、無論（66）討幕だ、薩長同盟,manach.kyoshin.co.jp
1867年,徳川慶喜が大政奉還する（幕府終わり）,いや（18）、慶喜むな（67）しい、大政奉還,manach.kyoshin.co.jp
1868年,五箇条の御誓文発布・明治維新,一つやろうや（1868）、明治維新,manach.kyoshin.co.jp
1869年,版籍奉還,人は無口（1869）な版籍奉還,manach.kyoshin.co.jp
1871年,廃藩置県・郵便制度開始,藩とはいわない（1871）、県という,manach.kyoshin.co.jp
1872年,学制の発布・富岡製糸場操業・鉄道開通,人は何（1872）より教育が大事,hello-teacher.jp
1873年,徴兵令・地租改正,人はなみ（1873）だの、徴兵令と地租改正,hello-teacher.jp
1875年,樺太・千島交換条約締結,いやなこ（1875）ったい、樺太・千島交換条約,hello-teacher.jp
1877年,西南戦争,いやな（187）内乱（7）、西南戦争,hello-teacher.jp
1889年,大日本帝国憲法制定,いち早い（1889）結党、大日本帝国憲法,hello-teacher.jp
1894年,日清戦争開始／領事裁判権撤廃（対英）,一度白紙（1894）に戻そう、領事裁判権,manach.kyoshin.co.jp
1904年,日露戦争開戦,行くわよ（1904）ロシアへ、日露戦争,hello-teacher.jp
1910年,韓国併合,韓国へ、いくどー（1910）！,hello-teacher.jp
1911年,関税自主権の回復,低い位置（1911）からはい上がる、関税自主権回復,hello-teacher.jp
1912年,大正時代 元年（明治天皇崩御／大正天皇即位）,一句(19)、胃痛(12)には大正漢方胃腸薬,nihonshi-goro.com
1926年,昭和時代 元年（大正天皇崩御／昭和天皇即位）,行く(19)ぞ風呂(26)に昭和元年,nihonshi-goro.com
1945年,第二次世界大戦終結・日本降伏（昭和20年）,行くよGO！（1945）国連へ,taiou-juku.com
1989年,平成元年（昭和天皇崩御／平成天皇即位）,一句(19)、平成と掲げる役(89)は小渕さん,nihonshi-goro.com
2019年,令和時代 元年（平成天皇退位／令和天皇即位）,令和元年ブレイク(2019)するかな？,nihonshi-goro.com
